Algorithmn,Polynomial_Train_mae,Polynomial_Test_mae,Power_Train_mae,Power_Test_mae,Polynomial_Train_mse,Polynomial_Test_mse,Power_Train_mse,Power_Test_mse,Polynomial_Train_rmse,Polynomial_Test_rmse,Power_Train_rmse,Power_Test_rmse
LinearRegression,10.21743538285177,10.341340409367485,5.571466753564713,5.787006979168838,157.8269321906315,162.04692754805296,52.47774868339286,56.42667453702093,12.56291893592534,12.729765416065332,7.244152723638069,7.511769068403323
Ridge,10.21743084613103,10.341363279027705,5.571468426892611,5.787019686464323,157.82693231171524,162.04793640861473,52.477748751047066,56.42697010973378,12.562918940744433,12.729805042050515,7.244152728307643,7.511788742352501
Lasso,10.21743479502452,10.341357158590721,5.571465434173465,5.787005322802774,157.82693240905877,162.04813015555763,52.477748790934726,56.426632185398276,12.562918944618673,12.729812652021145,7.244152731060736,7.511766249384912
ElasticNet,10.958039157274657,11.478948659181542,7.339727640383796,7.7706540529651384,182.48061534002926,198.13518893915955,84.54454838024886,94.59170508567972,13.50853860859972,14.076050189565237,9.194810948586646,9.725826704485318
SVR,7.936768489446726,9.387814780190942,2.6484854274961833,3.7434126065000757,111.38220318119052,141.94581878426357,17.394569482333303,30.71949061255455,10.553776725949366,11.914101677603039,4.170679738643726,5.542516631689485
RandomForestRegressor,1.3641958887544385,3.5207131422577898,1.3702862164996572,3.4872003769477793,3.7118121126697576,28.74425576022996,3.5053712713364376,28.8416306047481,1.926606372010058,5.36136696750278,1.872263675697533,5.370440447928652
ExtraTreesRegressor,0.013471662535842411,3.6955387503912887,0.013471662535842411,3.221394938584337,0.016758769845164903,33.61226189036693,0.016758769845164903,27.51670019964043,0.1294556674895499,5.797608290525234,0.1294556674895499,5.245636300739924
BaggingRegressor,8.114250148758112,9.428291492053964,2.8056040839129057,3.728436304299484,109.91983081063671,139.8481041958461,17.70388651228363,29.58689748566773,10.484265868940787,11.82573905495323,4.207598663404535,5.439383925194813
StackingRegressor,8.56822044907311,10.008537307101943,2.8162950802420927,4.279158315765529,121.92785405413878,154.04763313532536,16.228222799160083,34.3209686090198,11.04209464069833,12.41159269132392,4.028426839246318,5.858410075184205
SGD,10.195077235151883,10.319990411560553,5.605224775963731,5.828098431479798,158.69758114284335,160.88316993990082,53.01621886789129,56.103232548881564,12.597522817714733,12.68397295565947,7.281223720494467,7.49020911249356
