Algorithmn,Polynomial_Train_mae,Polynomial_Test_mae,Power_Train_mae,Power_Test_mae,Polynomial_Train_mse,Polynomial_Test_mse,Power_Train_mse,Power_Test_mse,Polynomial_Train_rmse,Polynomial_Test_rmse,Power_Train_rmse,Power_Test_rmse
LinearRegression,10.21743538285177,10.341340409367485,5.571466753564713,5.787006979168838,157.8269321906315,162.04692754805296,52.47774868339286,56.42667453702093,12.56291893592534,12.729765416065332,7.244152723638069,7.511769068403323
Ridge,10.217162679318664,10.343624580393492,5.571695220139573,5.788264714134853,157.82812491624514,162.1484038170886,52.47841808422927,56.456738510705904,12.562966405918832,12.73375057934969,7.24419892632921,7.513769926655055
Lasso,10.606411148391535,11.026642515029806,5.947702016744507,6.149251049024678,170.41102047456374,181.90316445866287,59.26942362796694,64.74549729860195,13.054157210427785,13.487148121773664,7.698663756001228,8.04645868059993
ElasticNet,10.958039157274657,11.478948659181542,7.339727640383796,7.7706540529651384,182.48061534002926,198.13518893915955,84.54454838024886,94.59170508567972,13.50853860859972,14.076050189565237,9.194810948586646,9.725826704485318
SVR,10.100564283898802,10.785173284297644,5.3799305375460875,6.147213313761503,161.61173792879197,181.57355390969875,54.02732522780447,72.46654288749197,12.712660536991931,13.47492315041903,7.35032823946009,8.51272828695313
RandomForestRegressor,1.3495472730783722,3.5265666358501258,1.3669053583083424,3.5450751037835384,3.512175258103254,28.46182224976233,3.5816831812215,29.626092839565267,1.874079843043848,5.334962253827325,1.8925335350322066,5.4429856549108475
ExtraTreesRegressor,0.013471662535842411,3.713743215054198,0.013471662535842411,3.3307358457359784,0.016758769845164903,33.99432095961787,0.016758769845164903,28.638424473382003,0.1294556674895499,5.830464900813474,0.1294556674895499,5.351488061593897
BaggingRegressor,10.12875344467922,10.782820302596662,5.405233720048891,6.198544654760113,161.5153627146338,181.2582451065931,54.52845582645518,73.52027622348197,12.708869450688121,13.463218229925307,7.384338550368285,8.574396551564545
StackingRegressor,9.252575510308763,10.692777694482027,4.028105233082188,5.205836682685142,136.9277596500278,173.69613797539282,29.799024699233367,50.67996778312153,11.70161354899519,13.179383065052507,5.458848294213109,7.1189864294800795
SGD,10.221412926064554,10.3355017700225,5.576876314049775,5.795663884888573,157.84358898610165,161.72746810126694,52.4965835686469,56.49926790167367,12.563581853360994,12.717211490781576,7.24545261309788,7.516599490572427
